"","event_date","event_type","country"
"1",2020-01-01,"Protests","Germany"
"2",2020-01-01,"Strategic developments","Germany"
"3",2020-01-01,"Protests","Germany"
"4",2020-01-01,"Strategic developments","Germany"
"5",2020-01-02,"Protests","Germany"
"6",2020-01-02,"Protests","Germany"
"7",2020-01-03,"Strategic developments","Germany"
"8",2020-01-03,"Protests","Germany"
"9",2020-01-03,"Protests","Germany"
"10",2020-01-03,"Protests","Germany"
"11",2020-01-03,"Protests","Germany"
"12",2020-01-03,"Protests","Germany"
"13",2020-01-04,"Protests","Germany"
"14",2020-01-04,"Protests","Germany"
"15",2020-01-04,"Explosions/Remote violence","Germany"
"16",2020-01-04,"Protests","Germany"
"17",2020-01-04,"Protests","Germany"
"18",2020-01-04,"Protests","Germany"
"19",2020-01-04,"Protests","Germany"
"20",2020-01-04,"Protests","Germany"
"21",2020-01-04,"Protests","Germany"
"22",2020-01-04,"Protests","Germany"
"23",2020-01-04,"Protests","Germany"
"24",2020-01-04,"Protests","Germany"
"25",2020-01-04,"Protests","Germany"
"26",2020-01-04,"Protests","Germany"
"27",2020-01-04,"Protests","Germany"
"28",2020-01-04,"Protests","Germany"
"29",2020-01-04,"Protests","Germany"
"30",2020-01-04,"Protests","Germany"
"31",2020-01-04,"Riots","Germany"
"32",2020-01-05,"Protests","Germany"
"33",2020-01-05,"Protests","Germany"
"34",2020-01-05,"Battles","Germany"
"35",2020-01-05,"Protests","Germany"
"36",2020-01-05,"Protests","Germany"
"37",2020-01-06,"Protests","Germany"
"38",2020-01-06,"Protests","Germany"
"39",2020-01-06,"Protests","Germany"
"40",2020-01-06,"Protests","Germany"
"41",2020-01-06,"Protests","Germany"
"42",2020-01-06,"Protests","Germany"
"43",2020-01-07,"Protests","Germany"
"44",2020-01-07,"Protests","Germany"
"45",2020-01-07,"Protests","Germany"
"46",2020-01-07,"Protests","Germany"
"47",2020-01-08,"Protests","Germany"
"48",2020-01-08,"Protests","Germany"
"49",2020-01-08,"Protests","Germany"
"50",2020-01-08,"Protests","Germany"
"51",2020-01-08,"Protests","Germany"
"52",2020-01-08,"Protests","Germany"
"53",2020-01-08,"Protests","Germany"
"54",2020-01-08,"Protests","Germany"
"55",2020-01-08,"Protests","Germany"
"56",2020-01-09,"Protests","Germany"
"57",2020-01-09,"Protests","Germany"
"58",2020-01-09,"Protests","Germany"
"59",2020-01-09,"Protests","Germany"
"60",2020-01-09,"Protests","Germany"
"61",2020-01-10,"Protests","Germany"
"62",2020-01-10,"Protests","Germany"
"63",2020-01-10,"Protests","Germany"
"64",2020-01-10,"Protests","Germany"
"65",2020-01-10,"Protests","Germany"
"66",2020-01-10,"Protests","Germany"
"67",2020-01-10,"Protests","Germany"
"68",2020-01-10,"Protests","Germany"
"69",2020-01-10,"Protests","Germany"
"70",2020-01-10,"Protests","Germany"
"71",2020-01-10,"Protests","Germany"
"72",2020-01-10,"Protests","Germany"
"73",2020-01-10,"Protests","Germany"
"74",2020-01-10,"Protests","Germany"
"75",2020-01-10,"Protests","Germany"
"76",2020-01-10,"Protests","Germany"
"77",2020-01-10,"Protests","Germany"
"78",2020-01-10,"Protests","Germany"
"79",2020-01-10,"Protests","Germany"
"80",2020-01-10,"Protests","Germany"
"81",2020-01-10,"Protests","Germany"
"82",2020-01-10,"Protests","Germany"
"83",2020-01-10,"Protests","Germany"
"84",2020-01-10,"Protests","Germany"
"85",2020-01-10,"Protests","Germany"
"86",2020-01-10,"Protests","Germany"
"87",2020-01-10,"Protests","Germany"
"88",2020-01-10,"Protests","Germany"
"89",2020-01-11,"Protests","Germany"
"90",2020-01-11,"Protests","Germany"
"91",2020-01-11,"Protests","Germany"
"92",2020-01-11,"Protests","Germany"
"93",2020-01-11,"Strategic developments","Germany"
"94",2020-01-11,"Protests","Germany"
"95",2020-01-11,"Protests","Germany"
"96",2020-01-11,"Riots","Germany"
"97",2020-01-11,"Strategic developments","Germany"
"98",2020-01-11,"Protests","Germany"
"99",2020-01-11,"Protests","Germany"
"100",2020-01-11,"Protests","Germany"
"101",2020-01-11,"Protests","Germany"
"102",2020-01-11,"Protests","Germany"
"103",2020-01-11,"Protests","Germany"
"104",2020-01-11,"Protests","Germany"
"105",2020-01-11,"Protests","Germany"
"106",2020-01-11,"Protests","Germany"
"107",2020-01-12,"Protests","Germany"
"108",2020-01-12,"Protests","Germany"
"109",2020-01-12,"Protests","Germany"
"110",2020-01-12,"Protests","Germany"
"111",2020-01-13,"Protests","Germany"
"112",2020-01-13,"Protests","Germany"
"113",2020-01-13,"Protests","Germany"
"114",2020-01-13,"Protests","Germany"
"115",2020-01-13,"Protests","Germany"
"116",2020-01-13,"Protests","Germany"
"117",2020-01-13,"Protests","Germany"
"118",2020-01-13,"Protests","Germany"
"119",2020-01-13,"Protests","Germany"
"120",2020-01-13,"Protests","Germany"
"121",2020-01-13,"Protests","Germany"
"122",2020-01-13,"Protests","Germany"
"123",2020-01-13,"Protests","Germany"
"124",2020-01-13,"Protests","Germany"
"125",2020-01-13,"Protests","Germany"
"126",2020-01-13,"Protests","Germany"
"127",2020-01-13,"Protests","Germany"
"128",2020-01-13,"Protests","Germany"
"129",2020-01-13,"Protests","Germany"
"130",2020-01-13,"Protests","Germany"
"131",2020-01-14,"Protests","Germany"
"132",2020-01-14,"Strategic developments","Germany"
"133",2020-01-14,"Protests","Germany"
"134",2020-01-14,"Protests","Germany"
"135",2020-01-14,"Protests","Germany"
"136",2020-01-14,"Protests","Germany"
"137",2020-01-14,"Protests","Germany"
"138",2020-01-14,"Protests","Germany"
"139",2020-01-14,"Protests","Germany"
"140",2020-01-14,"Riots","Germany"
"141",2020-01-14,"Strategic developments","Germany"
"142",2020-01-15,"Protests","Germany"
"143",2020-01-15,"Protests","Germany"
"144",2020-01-15,"Protests","Germany"
"145",2020-01-15,"Protests","Germany"
"146",2020-01-15,"Protests","Germany"
"147",2020-01-15,"Protests","Germany"
"148",2020-01-15,"Violence against civilians","Germany"
"149",2020-01-16,"Protests","Germany"
"150",2020-01-16,"Protests","Germany"
"151",2020-01-16,"Protests","Germany"
"152",2020-01-16,"Protests","Germany"
"153",2020-01-16,"Protests","Germany"
"154",2020-01-16,"Protests","Germany"
"155",2020-01-16,"Protests","Germany"
"156",2020-01-16,"Protests","Germany"
"157",2020-01-16,"Protests","Germany"
"158",2020-01-16,"Riots","Germany"
"159",2020-01-16,"Protests","Germany"
"160",2020-01-16,"Protests","Germany"
"161",2020-01-17,"Protests","Germany"
"162",2020-01-17,"Protests","Germany"
"163",2020-01-17,"Protests","Germany"
"164",2020-01-17,"Protests","Germany"
"165",2020-01-17,"Protests","Germany"
"166",2020-01-17,"Protests","Germany"
