report_id,coder_id,article_id,city,event_date,side,tactics,participants,num_participants,part_violence,police_eng,end_activity,dist_cause,slogans
1,01,1532079175Aachen_article_245,Aachen,2015-12-12,pro-pegida,demonstration,Pegida,130,0,0,2,too few participants,NA
2,01,1532079175Aachen_article_245,Aachen,2015-12-12,anti-pegida,demonstration;singing;concert,Stadt Aachen;Dialog der Religionen;Bistum Aachen;Bundestag,2000,0,0,NA,NA,Dumpfbacken sind nicht das Volk
3,01,1532079175Aachen_article_245,Aachen,2015-12-12,anti-pegida,demonstration,left-autonomous organizations,500,2,2,NA,NA,NA
4,01,1532079186Aachen_article_246,Aachen,2015-12-14,anti-pegida,demonstration,churches;parties;muslim organizations,2000,NA,0,NA,NA,NA
5,01,1532079186Aachen_article_246,Aachen,2015-12-14,anti-pegida,demonstration,left groups,500,2,2,NA,NA,NA
6,01,1532079186Aachen_article_246,Aachen,2015-12-14,pro-pegida,demonstration,Pegida,130,NA,0,NA,NA,NA
7,01,1532079211Aachen_article_248,Aachen,2015-12-14,pro-pegida,demonstration,Pegida,NA,NA,2,NA,NA,NA
8,01,1532079211Aachen_article_248,Aachen,2015-12-14,anti-pegida,demonstration;singing;concert,Stadt Aachen;Dialog der Religionen;left groups,NA,NA,2,NA,NA,NA
9,01,1532079227Aachen_article_249,Aachen,2015-12-14,pro-pegida,demonstration,Pegida,130,NA,0,NA,NA,Merkel muss weg;Grenzen toe;Allah is een luegen;Wir sind das Volk
10,01,1532079227Aachen_article_249,Aachen,2015-12-14,anti-pegida,demonstration;drown,left groups;Antifa,500,NA,2,NA,NA,NA
11,01,1532079241Aachen_article_250,Aachen,2015-12-13,anti-pegida,demonstration;singing;concert,Stadt Aachen;Bundestag;Städteregionsrat,2000,0,0,NA,NA,NA
12,01,1532079241Aachen_article_250,Aachen,2015-12-13,anti-pegida,demonstration,left-autonomous organizations,500,2,2,NA,NA,NA
13,01,1532079241Aachen_article_250,Aachen,2015-12-13,pro-pegida,demonstration,Pegida,130,0,0,NA,NA,NA
14,01,1532079264Aachen_article_252,Aachen,2015-12-13,pro-pegida,demonstration,Pegida,130,NA,NA,NA,NA,NA
15,01,1532079264Aachen_article_252,Aachen,2015-12-13,anti-pegida,demonstration,Stadt Aachen,2500,NA,NA,NA,NA,NA
18,01,1528882398Chemnitz_article_212,Chemnitz,2015-03-23,pro-pegida,demonstration,Pegida,NA,NA,NA,NA,NA,NA
19,01,1528882420Chemnitz_article_213,Chemnitz,2015-03-23,pro-pegida,demonstration,Pegida,NA,NA,NA,NA,NA,NA
33,01,1528883306Chemnitz_article_252,Chemnitz,2015-02-02,anti-pegida,demonstration,NA,350,NA,NA,NA,NA,NA
34,01,1538511088Darmstadt_article_182,Darmstadt,2015-02-02,anti-pegida,demonstration,student unions;DGB;GEW,600,NA,NA,NA,NA,Bunt ohne Braun;Gegen geistige Brandstifter;Solidarität statt Fremdenhass
35,01,1527510420Dortmund_article_40,Dortmund,2016-04-02,anti-pegida,demonstration,NA,NA,NA,NA,NA,NA,NA
36,01,1527780650Hannover_article_138,Hannover,2016-09-03,pro-pegida,demonstration,Bürgerprotest Hannover,40,0,0,2,too few participants,NA
37,01,1527780650Hannover_article_138,Hannover,2016-09-03,anti-pegida,demonstration,Die Linke;labour unions;Die Partei,70,0,1,1,police did not allow counter-demonstrators to stay at demonstration venue where pegida protest activity took place and assigned them a different location,Burkapflicht für Nazis
38,01,1527781469Hannover_article_165,Hannover,2016-05-02,pro-pegida,demonstration,Bürgerprotest Hannover;Die Rechte;hooligans,70,0,0,NA,NA,NA
39,01,1527781469Hannover_article_165,Hannover,2016-05-02,anti-pegida,demonstration,NA,200,0,0,NA,NA,NA
40,01,1527781818Hannover_article_172,Hannover,2016-03-07,pro-pegida,demonstration,Pegida,100,0,0,0,NA,Merkel muss weg;Volksverräter;Wir sind das Volk
41,01,1527781818Hannover_article_172,Hannover,2016-03-07,anti-pegida,demonstration;sit-in,Bündnis Aktiv gegen Rassismus;Grüne Jugend;Gewerkschaftsjugend;Die Linke;Antifa,225,2,2,2,police dispersal;arrests,NA
42,01,1527782312Hannover_article_193,Hannover,2016-01-11,pro-pegida,demonstration,Pegida,150,0,0,NA,NA,NA
43,01,1527782312Hannover_article_193,Hannover,2016-01-11,anti-pegida,demonstration,left-autonomous organizations,70,0,0,NA,NA,NA
44,01,1527782335Hannover_article_194,Hannover,2016-01-11,pro-pegida,demonstration,Pegida,150,NA,NA,NA,NA,NA
45,01,1527782335Hannover_article_194,Hannover,2016-01-11,anti-pegida,demonstration,left-autonomous organizations,70,0,NA,NA,NA,NA
46,01,1527782586Hannover_article_205,Hannover,2015-11-30,pro-pegida,demonstration,Pegida,30,NA,0,2,counter-demonstrators;police dispersal,NA
47,01,1527782586Hannover_article_205,Hannover,2015-11-30,anti-pegida,demonstration,left-autonomous organizations,100,2,2,2,police dispersal;arrests,NA
48,01,1527782678Hannover_article_209,Hannover,2015-11-16,pro-pegida,demonstration,Pegida,120,NA,0,1,counter-demonstrators,Merkel raus;Wir sind das Volk
49,01,1527782678Hannover_article_209,Hannover,2015-11-16,anti-pegida,demonstration,NA,100,2,2,2,police dispersal;arrests,NA
50,01,1527783034Hannover_article_224,Hannover,2015-01-26,anti-pegida,demonstration,NA,NA,NA,NA,NA,NA,NA
51,01,1527783125Hannover_article_228,Hannover,2015-01-12,anti-pegida,demonstration,NA,19000,NA,NA,NA,NA,NA
52,01,1527783125Hannover_article_228,Hannover,2015-01-12,pro-pegida,demonstration,Pegida,NA,NA,NA,NA,NA,NA
53,01,1527783148Hannover_article_229,Hannover,2015-01-12,anti-pegida,demonstration,NA,19000,NA,NA,NA,NA,NA
54,01,1527783148Hannover_article_229,Hannover,2015-01-12,pro-pegida,demonstration,Pegida,NA,NA,NA,NA,NA,NA
55,01,1527783172Hannover_article_230,Hannover,2015-01-12,anti-pegida,demonstration,NA,19000,NA,NA,NA,NA,NA
56,01,1527783172Hannover_article_230,Hannover,2015-01-12,pro-pegida,demonstration,Pegida,200,NA,NA,NA,NA,NA
57,01,1527783196Hannover_article_231,Hannover,2015-01-12,anti-pegida,demonstration,NA,17000,NA,NA,NA,NA,NA
58,01,1534420220Heidelberg_article_26,Heidelberg,2015-10-24,pro-pegida,demonstration,Pegida,30,0,0,NA,NA,NA
59,01,1534420220Heidelberg_article_26,Heidelberg,2015-10-24,anti-pegida,demonstration,parties;unions;churches,2000,0,0,NA,NA,NA
60,01,1534420458Heidelberg_article_37,Heidelberg,2015-01-27,anti-pegida,demonstration,NA,NA,NA,NA,NA,NA,NA
61,01,1534420480Heidelberg_article_38,Heidelberg,2015-01-26,anti-pegida,demonstration,NA,500,NA,NA,NA,NA,NA
62,01,1534421056Heidelberg_article_55,Heidelberg,2015-01-12,anti-pegida,demonstration,Nogida,4000,NA,NA,NA,NA,NA
63,01,1528289118Jena_article_133,Jena,2016-04-20,pro-pegida,demonstration,Thügida;neonazis,200,NA,NA,NA,NA,NA
64,01,1528289118Jena_article_133,Jena,2016-04-20,anti-pegida,demonstration,NA,2000,3,NA,NA,NA,NA
65,01,1528289186Jena_article_136,Jena,2016-04-20,pro-pegida,demonstration;torchlight procession,Thügida;right-wing extremists,200,NA,0,NA,NA,NA
66,01,1528289186Jena_article_136,Jena,2016-04-20,anti-pegida,demonstration,NA,3000,2,0,NA,NA,NA
67,01,1528289232Jena_article_138,Jena,2016-04-20,pro-pegida,demonstration;torchlight procession,Thügida;neonazis;right-wing extremists,NA,2,0,NA,NA,NA
68,01,1528289232Jena_article_138,Jena,2016-04-20,anti-pegida,demonstration,left-wing extremists,NA,2,0,NA,NA,NA
69,01,1528289253Jena_article_139,Jena,2016-04-20,pro-pegida,demonstration;torchlight procession,Thügida;right-wing extremists,200,0,0,NA,NA,NA
70,01,1528289253Jena_article_139,Jena,2016-04-20,anti-pegida,demonstration,NA,3000,4,0,NA,NA,NA
71,01,1528289276Jena_article_140,Jena,2016-04-20,pro-pegida,demonstration,Thügida,200,2,2,NA,NA,NA
72,01,1528289276Jena_article_140,Jena,2016-04-20,anti-pegida,demonstration,NA,3000,4,2,NA,NA,NA
73,01,1528289299Jena_article_141,Jena,2016-04-20,pro-pegida,demonstration,Thügida,NA,NA,0,NA,NA,NA
74,01,1528289299Jena_article_141,Jena,2016-04-20,anti-pegida,demonstration,NA,3000,4,0,NA,NA,NA
75,01,1528289322Jena_article_142,Jena,2016-04-20,pro-pegida,demonstration;torchlight procession,Thügida;neonazis,200,4,2,NA,NA,NA
76,01,1528289322Jena_article_142,Jena,2016-04-20,anti-pegida,demonstration;drown;singing;sit-in,NA,4000,4,2,NA,NA,Nazis raus
77,01,1529672759Mönchengladbach_article_69,Mönchengladbach,2016-03-11,pro-pegida,demonstration,Mönchengladbach steht auf;hooligans,90,NA,NA,NA,NA,NA
78,01,1529672772Mönchengladbach_article_70,Mönchengladbach,2016-03-11,pro-pegida,demonstration,Mönchengladbach steht auf;hooligans;football fans,90,NA,NA,NA,NA,NA
79,01,1529673256Mönchengladbach_article_91,Mönchengladbach,2016-01-08,pro-pegida,demonstration,Mönchengladbach steht auf;football fans,230,0,0,NA,NA,NA
80,01,1529673256Mönchengladbach_article_91,Mönchengladbach,2016-01-08,anti-pegida,demonstration;singing,Bündnis Aufstehen! Für Menschenwürde. Gegen Rechtsextremismus,300,0,0,NA,NA,NA
81,01,1529673416Mönchengladbach_article_98,Mönchengladbach,2015-12-04,pro-pegida,demonstration,Mönchengladbach steht auf,100,0,0,NA,NA,NA
82,01,1529673416Mönchengladbach_article_98,Mönchengladbach,2015-12-04,anti-pegida,demonstration,Mönchengladbach stellt sich quer,300,0,0,NA,NA,NA
83,01,1529673716Mönchengladbach_article_111,Mönchengladbach,2015-10-31,pro-pegida,demonstration,Mönchengladbach steht auf,NA,NA,NA,NA,NA,NA
84,01,1529673738Mönchengladbach_article_112,Mönchengladbach,2015-10-30,pro-pegida,demonstration,Mönchengladbach steht auf,100,NA,NA,NA,NA,NA
85,01,1529673782Mönchengladbach_article_114,Mönchengladbach,2015-10-30,pro-pegida,demonstration,Mönchengladbach steht auf,100,NA,NA,NA,NA,NA
86,01,1529673804Mönchengladbach_article_115,Mönchengladbach,2015-10-30,pro-pegida,demonstration,Mönchengladbach steht auf,100,0,0,NA,NA,Wir sind das Volk;Merkel muss weg;Lügenpresse
87,01,1529673804Mönchengladbach_article_115,Mönchengladbach,2015-10-30,anti-pegida,demonstration,Mönchengladbach stellt sich quer;SPD;Landtag Nordrhein-Westfalen,300,0,0,NA,NA,Haut ab
88,01,1529673826Mönchengladbach_article_116,Mönchengladbach,2015-10-30,pro-pegida,demonstration,Mönchengladbach steht auf,100,0,0,NA,NA,Wir sind das Volk;Merkel muss weg;Lügenpresse
89,01,1529673826Mönchengladbach_article_116,Mönchengladbach,2015-10-30,anti-pegida,demonstration,Mönchengladbach stellt sich quer;SPD;Landtag Nordrhein-Westfalen,300,0,0,NA,NA,Haut ab
90,01,1533640737Nürnberg_article_39,Nürnberg,2017-03-26,pro-pegida,demonstration,Pegida,100,NA,NA,NA,NA,NA
91,01,1533640737Nürnberg_article_39,Nürnberg,2017-03-26,anti-pegida,demonstration,NA,120,NA,NA,NA,NA,Gemeinsam entschlossen gegen den Rechtsruck
92,01,1533640989Nürnberg_article_50,Nürnberg,2017-02-17,anti-pegida,demonstration,Verdi,150,0,0,0,NA,NA
93,01,1533640989Nürnberg_article_50,Nürnberg,2017-02-17,pro-pegida,demonstration,Pegida,10,0,0,0,NA,NA
94,01,1533718329Nürnberg_article_219,Nürnberg,2016-02-15,pro-pegida,demonstration,Initiative Sichere Heimat;Pegida;AfD;NPD,150,0,0,0,NA,NA
95,01,1533718329Nürnberg_article_219,Nürnberg,2016-02-15,anti-pegida,demonstration,Fürther Bündnis gegen Rechtsextremismus und Rassismus;Nürnberger Bündnis Nazistopp,250,0,0,0,NA,NA
