city,event_date,side,media_reports,events,participants_mean,participants_max,participants_min,part_violence,sec_engagement
Aachen,2015-12-12,pro-pegida,1,1,130,130,130,0,0
Aachen,2015-12-12,anti-pegida,1,2,2500,2500,2500,2,2
Aachen,2015-12-13,pro-pegida,2,1,130,130,130,0,0
Aachen,2015-12-13,anti-pegida,2,2,2500,2500,2500,2,2
Aachen,2015-12-14,pro-pegida,3,1,130,130,130,NA,2
Aachen,2015-12-14,anti-pegida,3,2,1500,2500,500,2,2
Berlin,2014-12-22,anti-pegida,2,1,21,30,12,NA,NA
Berlin,2015-01-05,pro-pegida,15,1,346,500,300,3,0
Berlin,2015-01-05,anti-pegida,20,2,4417,7000,1500,3,2
Berlin,2015-01-12,pro-pegida,9,1,422,600,400,0,0
Berlin,2015-01-12,anti-pegida,13,1,3492,5000,200,0,0
Berlin,2015-01-13,pro-pegida,3,1,450,500,400,NA,NA
Berlin,2015-01-13,anti-pegida,4,1,3575,4300,2000,NA,NA
Berlin,2015-01-19,pro-pegida,9,1,362,400,300,NA,0
Berlin,2015-01-19,anti-pegida,8,2,619,1000,200,NA,0
Berlin,2015-01-20,pro-pegida,1,1,400,400,400,NA,0
Berlin,2015-01-20,anti-pegida,1,1,600,600,600,NA,0
Berlin,2015-01-26,pro-pegida,1,1,550,550,550,NA,0
Berlin,2015-01-26,anti-pegida,1,1,1100,1100,1100,NA,0
Berlin,2015-01-27,pro-pegida,2,1,300,300,300,NA,0
Berlin,2015-01-27,anti-pegida,2,1,750,750,750,NA,0
Berlin,2015-02-01,anti-pegida,2,1,5000,5000,5000,NA,NA
Berlin,2015-02-02,pro-pegida,1,1,230,230,230,NA,0
Berlin,2015-02-02,anti-pegida,1,1,NA,NA,NA,NA,NA
Berlin,2015-02-09,pro-pegida,2,1,300,300,300,NA,0
Berlin,2015-02-09,anti-pegida,1,1,NA,NA,NA,NA,NA
Berlin,2015-11-19,anti-pegida,1,1,NA,NA,NA,NA,0
Berlin,2015-11-21,pro-pegida,1,1,700,700,700,NA,NA
Berlin,2016-01-23,pro-pegida,6,1,700,700,700,0,1
Berlin,2016-01-25,pro-pegida,1,1,700,700,700,NA,NA
Berlin,2016-11-06,pro-pegida,1,1,500,500,500,0,0
Berlin,2016-11-07,anti-pegida,1,1,800,800,800,0,0
Berlin,2016-11-26,pro-pegida,1,1,120,120,120,0,0
Berlin,2016-11-26,anti-pegida,1,1,200,200,200,0,0
Berlin,2017-01-17,pro-pegida,1,1,NA,NA,NA,NA,0
Bielefeld,2015-01-19,anti-pegida,10,1,8667,10000,2000,0,NA
Bielefeld,2015-07-20,anti-pegida,4,1,1000,1000,1000,0,0
Bielefeld,2015-09-21,pro-pegida,3,1,24,25,24,NA,NA
Bielefeld,2015-09-21,anti-pegida,2,1,3500,3500,3500,NA,NA
Bielefeld,2016-04-02,pro-pegida,3,1,25,26,24,0,0
Bielefeld,2016-04-02,anti-pegida,3,2,1500,1500,1500,0,1
Bonn,2014-12-15,pro-pegida,16,1,209,300,24,0,0
Bonn,2014-12-15,anti-pegida,12,1,2000,3000,800,2,2
Bonn,2014-12-16,pro-pegida,4,1,NA,NA,NA,NA,NA
Bonn,2014-12-16,anti-pegida,4,1,1600,1600,1600,NA,NA
Bonn,2014-12-17,pro-pegida,1,1,200,200,200,NA,NA
Bonn,2014-12-22,pro-pegida,8,1,262,300,200,0,NA
Bonn,2014-12-22,anti-pegida,8,1,2750,3000,2500,0,NA
Bonn,2015-01-13,pro-pegida,1,1,200,200,200,NA,NA
Bonn,2015-01-13,anti-pegida,1,1,2000,2000,2000,NA,NA
Braunschweig,2015-01-19,pro-pegida,4,1,262,300,250,NA,NA
Braunschweig,2015-01-19,anti-pegida,6,1,5500,8000,2000,NA,NA
Braunschweig,2015-01-26,pro-pegida,2,1,NA,NA,NA,NA,0
Braunschweig,2015-01-26,anti-pegida,2,1,NA,NA,NA,NA,0
Braunschweig,2015-02-02,anti-pegida,1,1,NA,NA,NA,NA,NA
Braunschweig,2015-02-09,anti-pegida,1,1,NA,NA,NA,NA,NA
Braunschweig,2015-11-09,pro-pegida,1,1,50,50,50,NA,NA
Braunschweig,2015-11-09,anti-pegida,1,1,1000,1000,1000,NA,NA
Braunschweig,2016-01-25,pro-pegida,1,1,50,50,50,NA,NA
Braunschweig,2016-02-01,pro-pegida,1,1,50,50,50,NA,NA
Braunschweig,2016-02-01,anti-pegida,1,1,300,300,300,NA,NA
Bremen,2015-01-26,anti-pegida,1,1,NA,NA,NA,NA,NA
Chemnitz,2015-02-02,pro-pegida,1,1,600,600,600,0,0
Chemnitz,2015-02-02,anti-pegida,2,1,325,350,300,0,0
Chemnitz,2015-02-09,pro-pegida,2,1,500,500,500,NA,NA
Chemnitz,2015-02-09,anti-pegida,3,1,600,1000,200,NA,NA
Chemnitz,2015-02-16,pro-pegida,1,1,200,200,200,NA,NA
Chemnitz,2015-02-25,pro-pegida,1,1,600,600,600,NA,NA
Chemnitz,2015-02-25,anti-pegida,1,1,250,250,250,NA,NA
Chemnitz,2015-03-23,pro-pegida,4,1,NA,NA,NA,NA,NA
Chemnitz,2015-03-23,anti-pegida,1,1,NA,NA,NA,NA,NA
Chemnitz,2015-07-20,pro-pegida,1,1,1000,1000,1000,0,0
Chemnitz,2015-07-20,anti-pegida,1,1,400,400,400,0,0
Cottbus,2015-02-11,pro-pegida,2,1,300,300,300,NA,NA
Cottbus,2015-02-11,anti-pegida,1,1,350,350,350,NA,NA
Cottbus,2017-06-27,pro-pegida,1,1,400,400,400,0,0
Cottbus,2017-06-27,anti-pegida,1,1,400,400,400,0,0
Cottbus,2017-08-15,pro-pegida,1,1,150,150,150,NA,NA
Darmstadt,2015-02-02,anti-pegida,1,1,600,600,600,NA,NA
Dortmund,2016-04-02,anti-pegida,1,1,NA,NA,NA,NA,NA
Dresden,2014-10-27,pro-pegida,2,1,500,500,500,0,0
Dresden,2014-11-03,pro-pegida,1,1,1000,1000,1000,NA,0
Dresden,2014-11-03,anti-pegida,1,1,300,300,300,NA,0
Dresden,2014-11-10,pro-pegida,1,1,1700,1700,1700,0,0
Dresden,2014-11-10,anti-pegida,1,1,300,300,300,NA,0
Dresden,2014-11-17,pro-pegida,1,1,3000,3000,3000,NA,0
Dresden,2014-11-17,anti-pegida,1,1,500,500,500,NA,0
Dresden,2014-11-18,anti-pegida,1,1,200,200,200,NA,NA
Dresden,2014-11-24,pro-pegida,1,1,5500,5500,5500,NA,0
Dresden,2014-11-24,anti-pegida,1,1,400,400,400,NA,0
Dresden,2014-12-01,pro-pegida,11,1,7500,7500,7500,NA,0
Dresden,2014-12-01,anti-pegida,10,1,1150,1500,1000,NA,0
Dresden,2014-12-02,anti-pegida,1,1,1200,1200,1200,NA,0
Dresden,2014-12-08,pro-pegida,20,1,9900,10000,8000,3,1
Dresden,2014-12-08,anti-pegida,19,1,9053,10000,7000,3,0
Dresden,2014-12-15,pro-pegida,14,1,13143,15000,2000,NA,0
Dresden,2014-12-15,anti-pegida,12,1,5930,6500,5000,NA,0
Dresden,2014-12-16,pro-pegida,2,1,15000,15000,15000,NA,0
Dresden,2014-12-16,anti-pegida,2,1,6050,6500,5600,NA,0
Dresden,2014-12-17,pro-pegida,1,1,15000,15000,15000,NA,NA
Dresden,2014-12-22,pro-pegida,22,1,17364,17500,14500,3,0
Dresden,2014-12-22,anti-pegida,21,1,4500,4500,4500,3,1
Dresden,2015-01-05,pro-pegida,26,1,16924,18000,2000,NA,0
Dresden,2015-01-05,anti-pegida,20,2,3569,5000,200,NA,0
Dresden,2015-01-06,pro-pegida,1,1,1800,1800,1800,NA,NA
Dresden,2015-01-06,anti-pegida,1,1,NA,NA,NA,NA,NA
Dresden,2015-01-10,anti-pegida,21,1,33429,35000,2000,NA,0
Dresden,2015-01-12,pro-pegida,30,1,24365,32500,2000,NA,0
Dresden,2015-01-12,anti-pegida,13,2,7025,8700,400,NA,0
Dresden,2015-01-17,anti-pegida,1,1,3000,3000,3000,NA,NA
Dresden,2015-01-25,pro-pegida,18,1,16522,18500,2000,3,0
Dresden,2015-01-25,anti-pegida,14,1,4786,5000,2000,3,0
Dresden,2015-01-26,anti-pegida,10,1,24500,40000,10000,0,0
Dresden,2015-01-27,anti-pegida,2,1,10000,10000,10000,NA,NA
Dresden,2015-02-02,anti-pegida,3,1,267,400,200,NA,0
Dresden,2015-02-08,pro-pegida,20,1,428,750,200,0,0
Dresden,2015-02-09,pro-pegida,10,1,1870,2500,200,NA,0
Dresden,2015-02-09,anti-pegida,4,1,400,400,400,NA,0
Dresden,2015-02-16,pro-pegida,6,1,5275,7300,4300,0,0
Dresden,2015-02-16,anti-pegida,5,2,380,500,200,0,0
Dresden,2015-02-19,pro-pegida,3,1,100,100,100,NA,0
Dresden,2015-02-23,pro-pegida,6,1,5022,5933,4800,0,0
Dresden,2015-02-23,anti-pegida,2,1,250,300,200,0,0
Dresden,2015-02-25,pro-pegida,1,1,4800,4800,4800,NA,0
Dresden,2015-02-25,anti-pegida,1,1,250,250,250,NA,0
Dresden,2015-02-28,anti-pegida,1,1,3500,3500,3500,NA,0
Dresden,2015-03-02,pro-pegida,2,1,6200,6200,6200,NA,0
Dresden,2015-03-09,pro-pegida,2,1,8625,10750,6500,NA,0
Dresden,2015-03-09,anti-pegida,2,1,475,500,450,NA,0
Dresden,2015-03-16,pro-pegida,2,1,7700,7700,7700,NA,0
Dresden,2015-03-23,pro-pegida,4,1,6125,8000,5500,NA,0
Dresden,2015-03-23,anti-pegida,4,1,433,900,200,NA,2
Dresden,2015-03-28,anti-pegida,3,2,325,475,200,0,0
Dresden,2015-03-30,pro-pegida,2,1,2900,2900,2900,0,0
Dresden,2015-03-30,anti-pegida,1,1,100,100,100,0,0
Dresden,2015-04-06,pro-pegida,3,1,7100,7100,7100,NA,0
Dresden,2015-04-13,pro-pegida,19,1,8789,10000,2000,0,0
Dresden,2015-04-13,anti-pegida,16,2,2650,10000,1000,0,0
Dresden,2015-04-27,pro-pegida,3,1,1554,3000,200,0,0
Dresden,2015-05-04,pro-pegida,1,1,2500,2500,2500,NA,0
Dresden,2015-05-04,anti-pegida,1,1,250,250,250,NA,0
Dresden,2015-05-11,pro-pegida,1,1,3000,3000,3000,NA,NA
Dresden,2015-05-18,pro-pegida,2,1,3000,3000,3000,NA,NA
Dresden,2015-06-01,pro-pegida,2,1,2000,2000,2000,NA,NA
Dresden,2015-06-08,pro-pegida,1,1,1500,1500,1500,NA,NA
Dresden,2015-06-15,pro-pegida,1,1,1600,1600,1600,3,0
Dresden,2015-06-15,anti-pegida,1,1,NA,NA,NA,NA,0
Dresden,2015-06-22,pro-pegida,2,1,1175,1450,900,NA,0
Dresden,2015-06-29,pro-pegida,2,1,1875,2250,1500,NA,0
Dresden,2015-07-13,pro-pegida,2,1,1500,2000,1000,NA,0
Dresden,2015-08-10,pro-pegida,2,1,3250,3500,3000,NA,NA
Dresden,2015-08-24,pro-pegida,1,1,3000,3000,3000,NA,0
Dresden,2015-09-07,pro-pegida,1,1,7600,7600,7600,NA,0
Dresden,2015-09-14,pro-pegida,1,1,5000,5000,5000,NA,NA
Dresden,2015-09-21,pro-pegida,7,1,7292,11250,5000,NA,0
Dresden,2015-09-22,pro-pegida,1,1,NA,NA,NA,NA,NA
Dresden,2015-09-28,pro-pegida,2,1,8750,9000,8500,3,0
Dresden,2015-10-05,pro-pegida,5,1,9400,10000,9000,0,0
Dresden,2015-10-05,anti-pegida,3,1,200,200,200,NA,0
Dresden,2015-10-06,pro-pegida,1,1,10000,10000,10000,NA,0
Dresden,2015-10-06,anti-pegida,1,1,200,200,200,NA,0
Dresden,2015-10-12,pro-pegida,4,1,8938,9000,8750,NA,NA
Dresden,2015-10-19,pro-pegida,22,1,17368,20000,15000,4,2
Dresden,2015-10-19,anti-pegida,22,2,15453,20000,10000,4,2
Dresden,2015-10-20,pro-pegida,1,1,20000,20000,20000,3,NA
Dresden,2015-10-20,anti-pegida,1,1,19000,19000,19000,3,NA
Dresden,2015-10-26,pro-pegida,5,1,8000,10000,2000,0,0
Dresden,2015-10-26,anti-pegida,4,1,1500,2000,1200,0,0
Dresden,2015-11-02,pro-pegida,6,1,8400,10000,8000,NA,0
Dresden,2015-11-02,anti-pegida,3,1,2800,8000,200,NA,0
Dresden,2015-11-09,pro-pegida,7,1,7143,8500,6000,NA,NA
Dresden,2015-11-09,anti-pegida,7,1,5429,6000,4000,NA,NA
Dresden,2015-11-16,pro-pegida,7,1,8429,12000,7000,NA,0
Dresden,2015-11-16,anti-pegida,5,1,900,1000,500,NA,0
Dresden,2015-11-23,pro-pegida,3,1,5000,5500,4750,3,1
Dresden,2015-11-23,anti-pegida,2,1,500,800,200,NA,0
Dresden,2015-11-30,pro-pegida,3,1,4000,4500,3500,NA,0
Dresden,2015-11-30,anti-pegida,1,1,24,24,24,NA,NA
Dresden,2015-12-07,pro-pegida,1,1,6000,6000,6000,NA,NA
Dresden,2015-12-21,pro-pegida,6,1,6667,8000,6000,0,0
Dresden,2015-12-21,anti-pegida,6,2,3167,4000,2000,0,0
Dresden,2016-01-04,pro-pegida,2,1,3750,4000,3500,NA,NA
Dresden,2016-01-04,anti-pegida,1,1,140,140,140,NA,NA
Dresden,2016-01-25,pro-pegida,5,1,3400,4000,3000,NA,0
Dresden,2016-01-25,anti-pegida,5,1,270,300,250,NA,0
Dresden,2016-02-06,pro-pegida,9,1,7556,10000,2000,0,1
Dresden,2016-02-06,anti-pegida,7,2,4000,6000,2000,0,1
Dresden,2016-02-07,pro-pegida,1,1,8000,8000,8000,NA,NA
Dresden,2016-02-07,anti-pegida,1,1,2000,2000,2000,NA,NA
Dresden,2016-02-08,pro-pegida,1,1,8000,8000,8000,NA,NA
Dresden,2016-02-15,pro-pegida,2,1,3250,3500,3000,0,0
Dresden,2016-02-15,anti-pegida,1,1,300,300,300,0,NA
Dresden,2016-02-22,pro-pegida,2,1,2750,3000,2500,NA,NA
Dresden,2016-02-29,pro-pegida,1,1,3500,3500,3500,NA,NA
Dresden,2016-02-29,anti-pegida,1,1,250,250,250,NA,NA
Dresden,2016-03-14,pro-pegida,1,1,3500,3500,3500,NA,NA
Dresden,2016-03-14,anti-pegida,1,1,300,300,300,NA,NA
Dresden,2016-04-04,pro-pegida,1,1,2300,2300,2300,NA,NA
Dresden,2016-04-18,pro-pegida,3,1,3033,3200,2700,NA,NA
Dresden,2016-04-18,anti-pegida,3,1,450,450,450,NA,NA
Dresden,2016-04-19,pro-pegida,4,1,68,100,24,NA,NA
Dresden,2016-04-19,anti-pegida,1,1,NA,NA,NA,NA,NA
Dresden,2016-05-02,pro-pegida,1,1,3500,3500,3500,NA,NA
Dresden,2016-05-16,pro-pegida,1,1,2000,2000,2000,0,NA
Dresden,2016-05-16,anti-pegida,1,1,200,200,200,0,NA
Dresden,2016-05-21,pro-pegida,2,1,50,50,50,NA,NA
Dresden,2016-05-21,anti-pegida,2,1,NA,NA,NA,NA,NA
Dresden,2016-05-23,pro-pegida,4,1,2525,2600,2500,0,0
Dresden,2016-05-23,anti-pegida,4,1,2125,2500,2000,0,0
Dresden,2016-06-20,pro-pegida,2,1,1800,1800,1800,0,NA
Dresden,2016-06-20,anti-pegida,2,1,24,24,24,0,NA
Dresden,2016-07-20,pro-pegida,1,1,NA,NA,NA,3,0
Dresden,2016-07-20,anti-pegida,1,1,NA,NA,NA,NA,0
Dresden,2016-09-26,pro-pegida,6,2,2126,2950,60,NA,NA
Dresden,2016-09-26,anti-pegida,3,1,60,60,60,NA,NA
Dresden,2016-10-03,pro-pegida,17,1,2631,5000,100,0,0
Dresden,2016-10-03,anti-pegida,1,1,200,200,200,NA,0
Dresden,2016-10-16,pro-pegida,10,1,7000,8500,5000,0,0
Dresden,2016-10-16,anti-pegida,10,1,200,200,200,0,0
Dresden,2016-10-17,anti-pegida,6,2,3417,5500,2000,0,0
Dresden,2016-10-31,pro-pegida,1,1,1800,1800,1800,0,0
