"",AEta Lamb,AEthel Tollemache,Adela Pankhurst,Agnes Garrett,Alice Perkins,Alice Walker,Annie Kenney,Arta Young,Beatrice Sanders,Blanche Rogers,Blathwayt Family,Caroline (Kitty) Kenney,Charlotte Despard,Charlotte Marsh,Christabel Pankhurst,Christopher Marie St John,Clara Codd,Clara Evelyn Mordan,Dorothy Pethick,Dr Mary Morris,Edith Ailsa Craig,Edith Gray Wheelwright,Elsie Howey,Emmeline Pankhurst,Emmeline Pethick Lawrence,Florence Canning,Florence Haig,Georgia von Donop,Georgina Brackenbury,Gertrude Stewart,Gladice Keevil,Grace Tollemache,Helen Watts,Inez Maskelyne,Isabel Seymour,Jane Brailsford,Jennie Kenney,Jessie Kenney,Jessie Smith,Katherine Douglas Smith,Lady Betty Balfour,Lady Constance Lytton,Lady Stout,Laura Ainsworth,Lilian Dove-Willcox,Lilias Ashworth Hallet,Lillian Williamson,Mabel Tuke,Margaret Hewitt,Marie Brackenbury,Marie Naylor,Marion Wallace-Dunlop,Mary Allen,Mary Howey,Mary Neal,Mary Phillips,Maud Joachim,Mildred Mansel,Millicent Browne,Millicent Fawcett,Minnie Baldock,Miss B. Mason,Miss Douglas Fox,Miss Tanner,Mr Ashworth Hallett,Mr Rogers,Mrs Cave,Mrs Hatfield,Mrs Long,Mrs Paley,Mrs Severns,Mrs Tollemache,Mrs Wheatcroft,Nellie Crocker,Nurse Baynes,Rachel Barrett,Rose Lamartine Yates,Sophia Strangeways,Theresa Garnett,Una Stratford Dugdale,Vera Holme,Vera Wentworth,Vida Goldstein,Winifred Jones,Winifred Simmons
AEta Lamb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEthel Tollemache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adela Pankhurst,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agnes Garrett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice Perkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annie Kenney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arta Young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beatrice Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blanche Rogers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
