"","event_date","interaction","region","country","location","latitude","longitude","fatalities","notes","year"
"1",2022-01-02,"State forces-Protesters","Europe","France","Coquelles",50.9286,1.8145,0,"On 2 January 2022, police forces used tear gases to disperse a group of around 80 migrants supported by members of associations before the dismantlement of their camp situated in Coquelles. During the intervention, one activist accused of slapping a policeman was arrested.","2022"
"2",2022-01-03,"State forces-Protesters","Europe","Germany","Dortmund",51.5123,7.4638,0,"On 3 January 2022, around 700 people demonstrated in Dortmund against coronavirus-related measures and vaccination. One man refused to wear a mask and got arrested by police officers. Around 70 people gathered for a counter-demonstration at the call of Die Partei. Counter-demonstrators were against Nazis who they accuse of being within the Querdenken movement.","2022"
"3",2022-01-03,"State forces-Protesters","Europe","Germany","Rostock",54.0926,12.1282,0,"On 3 January 2022, around 4,000 people, including far-right members, demonstrated in Rostock against coronavirus-related measures and possible compulsory vaccination. Police officers used batons and physically pushed demonstrators who tried to break through barriers. Around 80 people gathered for a counter-demonstration.","2022"
"4",2022-01-03,"State forces-Protesters","Europe","Germany","Erfurt",50.9776,11.0248,0,"On 3 January 2022, people demonstrated in Erfurt against coronavirus-related measures. Police officers used tear gas.","2022"
"5",2022-01-05,"State forces-Protesters","Europe","Russia","Moscow - Central",55.7571,37.6173,0,"On 5 January 2022, seven protesters, including 6 organized by RRP: Revolutionary Workers Party, gathered for coordinated 'one-person pickets' in front of the embassy of Kazakhstan in Moscow - Central in support of mass protests in Kazakhstan, participants of which were demanding the withdrawal from politics of the influential former president Nursultan Nazarbayev. Police intervened to disperse the event, detaining all of its participants.","2022"
"6",2022-01-05,"State forces-Protesters","Europe","Germany","Munchen",48.1374,11.5755,0,"On 5 January 2022, around 3,000 people, including Querdenken members, demonstrated in Munchen against coronavirus-related measures. Police officers pushed, used their batons and tear gas against demonstrators. Around 400 people gathered for a counter-demonstration. One person was arrested but it isn't quite clear if it was within the demonstration or the counter-demonstration.","2022"
"7",2022-01-06,"State forces-Protesters","Europe","Russia","Moscow - Central",55.7571,37.6173,0,"On 6 January 2022, approximately 10 protesters gathered for coordinated 'one-person pickets' in front of a monument to a Kazakh poet on Chistoprudnyy Boulevard in Moscow - Central in support of mass protests in Kazakhstan, participants of which were demanding the withdrawal from politics of the influential former president Nursultan Nazarbayev. Police intervened to disperse the event, detaining all of the protesters, including a journalist.","2022"
"8",2022-01-07,"State forces-Protesters","Europe","Russia","Moscow - Central",55.7571,37.6173,0,"On 7 January 2022, at least seven protesters gathered for coordinated 'one-person pickets' in front of a monument to a Kazakh poet on Chistoprudnyy Boulevard in Moscow - Central in support of mass protests in Kazakhstan, participants of which were demanding the withdrawal from politics of the influential former president Nursultan Nazarbayev. Police intervened to disperse the event, detaining all of its participants.","2022"
"9",2022-01-08,"State forces-Protesters","Europe","France","Lyon",45.764,4.8357,0,"On 8 January 2022, over 2,000 persons, including members of the Yellow Vests movement and members of the CGT union, participated in two demonstrations in Lyon. They called for the removal of the bill changing the coronavirus-related 'sanitary pass' into a 'vaccination pass' with the obligation to provide a proof of vaccination to resume social and professional activities. The police intervened using tear gas and a police grenade accidentally landing inside an apartment, but no injuries nor fatalities were reported.","2022"
"10",2022-01-08,"State forces-Protesters","Europe","France","Dijon",47.322,5.0415,0,"On 8 January 2022, up to 600 people demonstrated in Dijon. They called for the removal of the bill changing the coronavirus-related 'sanitary pass' into a 'vaccination pass' with the obligation to provide a proof of vaccination to resume social and professional activities. They also denounced the declarations of the French president, according to which he would 'hassle unvaccinated people'. The police intervened using tear gas, while no injuries nor fatalities were reported.","2022"
